ID,Aboutus,Aboutus_Duration,Item_page,Item_page_Duration,Checkout_page,Checkout_page_Duration,Bounce_Rates,Exit_Rates,Page_Values,Remarkable_Day,Month,Operating_Systems,Browser,Province,TrafficType,VisitorType,Weekend,Income
50,1,141,8,176.25,20,651.7658974,0,0.009230769,19.13285864,0,Nov,Android,2,4,2,Returning_Visitor,no,1
51,0,0,1,4,9,495,0.022222222,0.044444444,0,0.2,May,iOS,2,2,19,Returning_Visitor,no,0
52,0,0,3,37.6,12,299.2666667,0,0.030769231,0,0,Sep,iOS,2,1,6,Returning_Visitor,no,0
53,0,0,0,0,6,80,0.1,0.133333333,0,1,May,Windows,1,1,3,Returning_Visitor,1,0
54,0,0,0,0,68,3177.791667,0.005970149,0.011488014,0,0,May,Android,4,4,4,Returning_Visitor,no,0
55,0,0,1,51.5,21,730.15,0,0.012121212,0,0,Nov,Android,2,4,2,New_Visitor,no,0
56,0,0,4,114.3333333,55,1247.357143,0.001886792,0.010691824,0,0,May,iOS,2,3,4,Returning_Visitor,1,0
57,0,0,9,65.5,72,1243.80882,0.000675676,0.007297297,0,0,May,Android,2,4,2,Returning_Visitor,no,0
58,0,0,0,0,1,0,0.2,0.2,0,0,May,Windows,1,2,3,New_Visitor,no,0
59,0,0,3,82.5,12,221.125,0.015384615,0.005128205,0,0,Nov,Windows,2,3,8,Returning_Visitor,no,0
60,0,0,0,0,20,837.25,0.015,0.041666667,0,0,Dec,oracle linux,5,1,1,Returning_Visitor,no,0
61,0,0,1,19.66666667,14,512.1111111,0.028571429,0.03,0,0,Mar,iOS,2,3,9,Returning_Visitor,1,0
62,0,0,0,0,7,232.6666667,0,0.014285714,0,0,Mar,Android,2,6,2,Returning_Visitor,no,0
63,0,0,4,211.8,15,512.9,0,0.00625,0,0,Nov,Windows,1,3,2,New_Visitor,no,0
64,2,139,2,11.92307692,80,4099.737392,0.004117063,0.005279668,16.88069613,0,Mar,iOS,2,1,2,Returning_Visitor,1,1
65,0,0,0,0,11,431.1666667,0,0.004545455,0,0,Nov,Windows,1,1,2,Returning_Visitor,no,0
66,0,0,0,0,6,149.5,0,0.066666667,0,0.4,May,Android,2,1,13,Returning_Visitor,no,0
67,0,0,0,0,18,587.7333333,0,0.022222222,32.52380772,0,Nov,Android,2,7,4,Returning_Visitor,1,1
68,0,0,4,98.5,9,281.75,0,0.030909091,0,0,Dec,Windows,1,3,2,Returning_Visitor,no,0
69,0,0,2,18.6,85,2834.280117,0.004883721,0.013388945,37.42337649,0,Nov,Android,2,1,1,Returning_Visitor,1,0
70,0,0,1,0,21,405.7095238,0.010743802,0.047002635,0,0,Feb,Windows,1,1,4,Returning_Visitor,no,0
71,0,0,5,112.1666667,60,1883.866667,0.017460317,0.042436975,0,0,Nov,Android,2,1,2,Returning_Visitor,no,0
72,0,0,0,0,57,1384.5,0.010344828,0.034482759,0,0,May,Android,2,3,13,Returning_Visitor,no,0
73,0,0,0,0,5,182,0,0.04,0,0,Mar,iOS,2,6,1,Returning_Visitor,no,0
74,0,0,0,0,4,6,0.1,0.15,0,0,June,Android,2,2,4,Returning_Visitor,no,0
75,0,0,0,0,11,304,0,0.018181818,0,0,May,Android,2,3,4,Returning_Visitor,no,0
76,0,0,0,0,1,0,0.2,0.2,0,0.6,May,iOS,2,1,13,Returning_Visitor,no,0
77,0,0,0,0,1,0,0.2,0.2,0,0,Mar,Android,2,2,1,Returning_Visitor,no,0
78,0,0,0,0,7,110,0.057142857,0.142857143,0,0,Mar,iOS,2,8,1,Returning_Visitor,no,0
79,3,129.75,5,44.74,18,390.4566667,0,0.019230769,0,0,Aug,Android,2,1,4,Returning_Visitor,no,0
80,0,0,0,0,8,377.5,0.0125,0.025,0,0,Mar,iOS,2,4,11,Returning_Visitor,1,0
81,0,0,2,84,3,195,0,0.02,0,0,Mar,Android,2,5,2,Returning_Visitor,no,0
82,1,88,7,405.2583333,22,661.6309524,0.007692308,0.005128205,0,0,May,Windows,1,4,2,Returning_Visitor,no,0
83,0,0,0,0,24,854.3333333,0,0.008333333,0,0,Mar,Ubuntu,1,1,10,Returning_Visitor,no,0
84,1,0,5,200,33,1606.831818,0,0.026619133,0,0,May,iOS,2,5,2,Returning_Visitor,no,0
85,0,0,9,177.3333333,70,2346.220238,0.002898551,0.003457557,0,0,Nov,Windows,1,5,3,Returning_Visitor,no,0
86,0,0,0,0,2,113,0,0.1,0,0,May,Android,2,3,13,Returning_Visitor,no,0
87,0,0,0,0,41,747.9077778,0.027526132,0.048583043,0,0,June,Windows,1,7,3,Returning_Visitor,no,0
88,0,0,0,0,4,160,0,0.075,0,0,Feb,Ubuntu,2,2,3,Returning_Visitor,no,0
89,0,0,0,0,8,101.8333333,0,0.058333333,0,0,Nov,Android,2,3,2,Returning_Visitor,no,0
90,4,1009.733333,12,217.6491228,38,1639.069361,0.02173913,0.031621722,5.287005762,0,Sep,iOS,2,6,1,Returning_Visitor,1,0
91,0,0,0,0,12,582.5,0,0.006666667,0,0,May,Android,4,4,2,New_Visitor,1,0
92,0,0,3,25.08333333,25,304.5,0,0.007407407,0,0,May,Android,2,3,13,Returning_Visitor,no,0
93,2,16,3,90.5,47,2986.916667,0.022278912,0.044557823,0,0,Dec,Android,2,8,1,Returning_Visitor,no,0
94,0,0,0,0,1,0,0.2,0.2,0,0,Nov,Android,2,1,1,Returning_Visitor,no,0
95,0,0,0,0,1,0,0.2,0.2,0,0,Dec,Windows,2,3,1,Returning_Visitor,no,0
96,0,0,0,0,3,74,0,0.022222222,0,0,May,iOS,2,2,2,Returning_Visitor,1,0
97,9,2252.033333,8,116.9722222,19,1135.880556,0.009677419,0.011841507,0,0,Jul,iOS,2,4,2,Returning_Visitor,1,0
98,0,0,8,154.2916667,34,991.3678571,0.005263158,0.01443609,10.93482456,0,Mar,Android,2,2,2,Returning_Visitor,no,0
99,0,0,2,35,44,2479,0.022727273,0.043560606,0,0,May,Android,2,1,6,Returning_Visitor,no,0
100,0,0,3,105,37,1384.383333,0.006766917,0.033646617,0,0,May,Android,2,7,13,Returning_Visitor,no,0
101,0,0,2,120,8,588.1666667,0,0.007407407,0,0,Mar,Windows,1,1,2,Returning_Visitor,no,0
102,0,0,0,0,15,748.5666667,0.016,0.041333333,0,0,Mar,Android,2,1,2,Returning_Visitor,no,0
103,0,0,0,0,2,0,0.2,0.2,0,0,Dec,Android,2,3,1,Returning_Visitor,no,0
104,4,52.4,4,291.9600939,219,6747.414492,0.003604845,0.020793071,5.408935339,0,June,Android,2,6,1,Returning_Visitor,no,0
105,0,0,0,0,17,840.2333333,0,0.001666667,109.176,0,Mar,Android,2,9,2,New_Visitor,no,1
106,0,0,0,0,3,61.75,0,0.066666667,0,0,Nov,Android,10,1,3,Returning_Visitor,no,0
107,0,0,3,75.6,122,1655.57,0,0.0064,17.0952864,0,Aug,Android,10,4,3,Returning_Visitor,no,1
108,0,0,0,0,7,137.5,0,0.033333333,0,0.6,May,Android,2,1,3,Returning_Visitor,no,0
109,0,0,1,8,22,699.2671429,0.028571429,0.037698413,10.79250883,0,Jul,iOS,2,1,1,Returning_Visitor,no,1
110,0,0,2,15,38,1880.966667,0.003703704,0.023809524,12.59766667,0,May,Ubuntu,1,1,4,Returning_Visitor,1,1
111,0,0,0,0,20,804.25,0.015,0.028333333,0,0,Nov,iOS,2,8,1,Returning_Visitor,no,0
112,0,0,0,0,23,553.15,0.034782609,0.069565217,0,0,Mar,Android,2,3,1,Returning_Visitor,no,0
113,7,89.53333333,4,76.6,87,4131.156044,0.006593407,0.037080939,0,0,Sep,Android,2,1,3,Returning_Visitor,no,0
114,0,0,0,0,8,83.5,0.075,0.1,0,0,Dec,Android,2,5,2,Returning_Visitor,no,0
115,1,56,0,0,17,1385.833333,0.005882353,0.017647059,39.85866667,0,Mar,Android,2,1,2,Returning_Visitor,no,1
116,2,16,3,65.16666667,23,599.3333333,0.008333333,0.016666667,5.4945,0,May,Windows,8,2,11,Returning_Visitor,1,1
117,0,0,0,0,7,76.5,0.007142857,0.066190476,0,0,May,iOS,2,1,1,Returning_Visitor,no,0
118,4,428.547619,17,311.25,139,3891.214286,0.001973684,0.011184211,86.79082569,0,Dec,Android,2,1,6,Returning_Visitor,no,0
119,0,0,4,69.96666667,28,2728.755,0,0.009313725,0,0,Oct,Windows,1,1,5,Returning_Visitor,no,0
120,0,0,0,0,19,620.0333333,0,0.007894737,0,0,Feb,Windows,1,4,2,Returning_Visitor,no,0
121,0,0,0,0,5,66,0,0.053333333,0,0,Mar,Windows,2,3,3,Returning_Visitor,no,0
122,0,0,2,141.6,10,728.18,0.018181818,0.065367965,14.28629744,0,Sep,iOS,2,1,1,Returning_Visitor,1,0
123,0,0,15,1535.355556,43,3606.088889,0.009770115,0.043951451,0,0,Dec,Android,2,1,1,Returning_Visitor,no,0
124,1,0,3,29.44,4,15.24,0,0.039583333,0,0,Sep,Android,2,8,2,Returning_Visitor,no,1
125,0,0,3,335,6,1615,0,0.016666667,0,0.8,May,iOS,3,1,4,Returning_Visitor,no,0
126,4,225.3666667,8,116.9607143,42,539.227381,0.015510204,0.011281179,0,0,Jul,Windows,1,1,4,Returning_Visitor,no,1
127,0,0,2,32.7,6,812.35,0.018181818,0.036709957,24.16451021,0,Aug,iOS,2,1,2,Returning_Visitor,no,0
128,0,0,4,61,16,502.5,0,0.00952381,71.944,0,May,Ubuntu,1,2,3,Returning_Visitor,1,1
129,0,0,2,217.8666667,15,614.6409524,0,0.027777778,0,0,Nov,Windows,1,2,2,Returning_Visitor,no,0
130,0,0,3,215,53,1481.429167,0.001851852,0.012345679,56.31760103,0,Nov,Windows,8,1,11,Returning_Visitor,1,1
131,3,173.2333333,11,211.0333333,62,1340.676667,0.000391389,0.019726027,17.42324027,0,Aug,Android,2,7,2,Returning_Visitor,no,0
132,0,0,2,27.5,44,1026.450758,0.004651163,0.037364341,0,0,Dec,Android,2,9,3,Returning_Visitor,no,0
133,0,0,0,0,5,249,0,0.04,0,0,May,Android,2,1,6,Returning_Visitor,no,0
134,16,1210.397619,0,0,5,279.8571429,0.003174603,0.012764202,0,0,Mar,Android,2,1,8,Returning_Visitor,no,0
135,0,0,9,328.75,108,2793.733084,0.001949318,0.019205066,0,0,Nov,Android,2,1,3,Returning_Visitor,no,1
136,0,0,1,32,13,813.8,0,0.030769231,32.43738462,0,May,Windows,1,3,4,Returning_Visitor,1,0
137,0,0,3,318.2,7,414.8666667,0,0.01,0,0,Nov,Windows,1,6,2,Returning_Visitor,no,0
138,0,0,0,0,11,316.6666667,0,0.027272727,0,0.8,Feb,Android,2,2,1,Returning_Visitor,no,0
139,0,0,4,28.5,20,500.5,0,0.029824561,0,0,Nov,Ubuntu,1,2,1,Returning_Visitor,1,0
140,0,0,0,0,4,60.5,0.1,0.15,0,0,Nov,Windows,1,1,1,Returning_Visitor,no,0
141,3,432.2,4,227.48,56,4895.26,0.016949153,0.043785311,5.763678818,0,Nov,Android,4,3,1,Returning_Visitor,no,0
142,0,0,0,0,5,17,0,0.04,0,0,May,Ubuntu,2,3,1,Returning_Visitor,no,0
143,0,0,12,248.2285714,66,1158.782857,0.009722222,0.022569444,0,0,Aug,iOS,2,1,3,Returning_Visitor,no,0
144,0,0,1,6,15,762,0,0.014285714,0,0,Dec,macOS,13,9,20,Other,no,0
145,0,0,1,0,8,534.875,0.008888889,0.074074074,0,0,Nov,Android,2,1,10,Returning_Visitor,no,0
146,0,0,0,0,50,1156.384921,0.008,0.0355,0,0.6,May,Android,2,4,1,Returning_Visitor,no,0
147,0,0,0,0,21,584.1333333,0,0.007142857,0,0,May,Android,2,4,4,Returning_Visitor,1,0
148,0,0,0,0,1,0,0.2,0.2,0,0,Dec,Android,2,3,13,Returning_Visitor,no,0
149,0,0,2,27.25,1,31.5,0.05,0.066666667,0,0,Dec,iOS,2,2,3,Returning_Visitor,no,1
150,0,0,2,55.5,2,26,0,0.06,0,0,Dec,Windows,2,9,3,Returning_Visitor,1,1
151,1,26,2,21,22,326.5833333,0.018181818,0.066666667,0,0,Mar,iOS,2,4,3,Returning_Visitor,no,0
152,0,0,0,0,48,476.3600939,0.000694444,0.028639403,0,0,Aug,Windows,1,1,2,Returning_Visitor,no,0
153,0,0,0,0,5,124,0,0.06,0,0,Nov,Windows,1,3,11,Returning_Visitor,no,0
154,0,0,0,0,1,0,0.2,0.2,0,0,Nov,Android,4,3,3,Returning_Visitor,no,0
155,0,0,0,0,9,1726.5,0,0.05,0,0,Dec,Android,4,7,1,Returning_Visitor,no,0
156,0,0,0,0,14,242.0833333,0.014285714,0.023809524,0,0,Nov,Windows,1,1,2,Returning_Visitor,no,1
157,0,0,0,0,24,671.0886525,0.026666667,0.036566293,0,0,Nov,Windows,1,3,2,Returning_Visitor,no,0
158,0,0,6,162.1071429,31,1269.766667,0.012121212,0.021212121,29.77472727,0,May,Android,5,1,2,New_Visitor,1,0
159,0,0,1,27.5,11,243.6666667,0,0.018181818,0,0,Mar,iOS,2,1,3,Returning_Visitor,no,0
160,0,0,3,37.5,46,1804.9,0.017730496,0.039361702,0,0,May,Android,2,3,6,Returning_Visitor,no,0
161,0,0,6,184.2727273,32,1427.689394,0.010810811,0.01966967,13.49031898,0,Nov,Android,2,1,13,Returning_Visitor,no,1
162,0,0,1,20,18,512.8333333,0.021052632,0.046491228,4.308315789,0,May,Windows,1,3,3,Returning_Visitor,no,0
163,0,0,0,0,1,0,0.2,0.2,0,0,Dec,Windows,2,1,1,Returning_Visitor,no,0
164,0,0,0,0,10,385,0,0.022222222,0,0,Dec,Android,2,3,2,New_Visitor,1,0
165,5,343.875,9,250.2222222,82,5076.380556,0,0.010982424,28.41708136,0,Dec,iOS,2,1,13,Returning_Visitor,no,1
166,2,33,0,0,21,1277.833333,0.008695652,0.036956522,0,0,May,Android,2,7,6,Returning_Visitor,1,0
167,2,369,11,247.3333333,90,7221,0.001030928,0.003917526,13.46406308,0,Mar,Android,2,3,8,Returning_Visitor,no,1
168,0,0,0,0,15,1074.428571,0.015384615,0.021538462,0,0,Mar,iOS,2,1,1,Returning_Visitor,no,0
169,0,0,0,0,1,0,0.2,0.2,0,0,May,Android,2,1,13,Returning_Visitor,no,0
170,0,0,0,0,33,601.9714286,0.006451613,0.012903226,0,0,May,Android,2,7,13,Returning_Visitor,no,0
171,0,0,2,58.5,37,1351.908333,0.005405405,0.018670099,5.464243549,0,Dec,Android,2,3,1,Returning_Visitor,no,0
172,0,0,0,0,2,0,0.2,0.2,0,0.6,May,Android,2,1,3,Returning_Visitor,no,0
173,0,0,0,0,23,996.4380952,0,0.019927536,0,0.8,May,iOS,2,8,4,Returning_Visitor,no,0
174,4,94,5,325.3333333,39,1603.5,0.005,0.0115625,0,0,May,Windows,1,1,3,Returning_Visitor,no,0
175,0,0,0,0,5,68.4,0,0.08,0,0,June,Android,4,2,4,Returning_Visitor,no,0
176,0,0,12,356.125,44,2187.338725,0.005102041,0.029042386,0,0,Dec,Windows,1,8,1,Returning_Visitor,no,0
177,0,0,0,0,16,177.5,0.025,0.0875,0,0.6,May,Ubuntu,2,1,6,Returning_Visitor,no,0
178,0,0,7,56.3,11,353.9,0.025,0.04375,10.02470626,0,Oct,Android,2,2,1,Returning_Visitor,no,0
179,3,357,15,937.1746032,109,6682.677557,0.000833333,0.005345441,2.526616865,0,Mar,Windows,2,3,2,Returning_Visitor,no,0
180,2,889.5,0,0,30,784.0833333,0.025,0.046875,0,0,Dec,Android,2,6,13,Returning_Visitor,no,0
181,0,0,2,28.66666667,12,224.1666667,0,0.023333333,44.73466667,0,Mar,iOS,2,6,2,Returning_Visitor,no,1
182,1,26.2,1,14.2,3,25.2,0,0.04,0,0,Nov,oracle linux,2,9,2,Returning_Visitor,no,0
183,0,0,0,0,17,290.8333333,0,0.0125,0,0.4,May,Android,2,3,2,Returning_Visitor,no,0
184,0,0,0,0,2,0,0.2,0.2,0,0,June,Windows,1,3,2,Returning_Visitor,no,0
185,0,0,5,86,23,267.3,0,0.016,0,0,Mar,Windows,1,4,9,Returning_Visitor,1,0
186,2,59.5,0,0,43,760.875,0.018412698,0.036790123,0,0,Dec,Ubuntu,2,1,2,Returning_Visitor,1,0
187,0,0,7,253.4,12,832.7,0,0.004761905,0,0,June,Android,5,3,5,New_Visitor,no,0
188,0,0,3,87,10,320.5,0,0.015384615,0,0,Feb,Windows,1,2,3,Returning_Visitor,no,0
189,0,0,0,0,7,80.5,0.028571429,0.038095238,0,0,May,Windows,1,3,3,Returning_Visitor,no,0
190,0,0,0,0,3,6,0.066666667,0.133333333,0,0.6,May,Android,2,1,1,Returning_Visitor,no,0
191,0,0,0,0,8,134,0,0.025,0,0,May,Android,2,1,2,Returning_Visitor,no,0
192,5,124.2666667,3,73.2,10,239.7,0,0.0025,0,0,Sep,Android,2,5,1,New_Visitor,no,0
193,0,0,0,0,14,363.3,0.019047619,0.045986395,0,0,May,Windows,1,6,2,Returning_Visitor,1,0
194,0,0,2,127,19,1431.666667,0,0.01,0,0.2,May,Android,2,4,2,Returning_Visitor,no,0
195,0,0,0,0,28,1252.75,0.010714286,0.042857143,0,0,Nov,Android,2,1,13,Returning_Visitor,no,0
196,0,0,6,57.5,66,1285.548533,0.004109589,0.018513906,20.97239726,0,May,Android,2,1,6,Returning_Visitor,no,1
197,3,298.6666667,15,641.5357143,13,798.5357143,0,0.011594203,0,0,May,iOS,2,2,4,Returning_Visitor,no,0
198,0,0,0,0,44,547,0.06,0.087407407,0,0.6,May,iOS,2,1,13,Returning_Visitor,no,0
199,0,0,1,0,15,487.5,0,0.019166667,0,0.8,Feb,Windows,1,2,4,Returning_Visitor,1,0
200,0,0,4,379.5,188,8618.031872,0.003454411,0.019765654,0,0,Nov,Android,2,1,2,Returning_Visitor,no,0
201,0,0,0,0,5,134.5,0.04,0.024,0,0,Nov,iOS,2,9,3,Returning_Visitor,1,0
202,0,0,0,0,1,0,0.2,0.2,0,0,Nov,Android,6,1,2,Returning_Visitor,no,0
203,0,0,0,0,9,1591,0.066666667,0.133333333,0,0,Dec,Android,2,3,13,Returning_Visitor,no,0
204,0,0,8,274.5,129,5883.040509,0.003076923,0.008735669,0,0,May,Windows,1,6,2,Returning_Visitor,no,0
205,0,0,2,36.4,75,1959.304762,0.005479452,0.027146119,0,0,May,Android,2,2,4,Returning_Visitor,no,0
206,0,0,0,0,15,310.1666667,0,0.006666667,0,0,Feb,Windows,1,4,4,Returning_Visitor,no,0
207,0,0,0,0,7,141.8333333,0.064285714,0.15,0,0,Mar,Android,2,1,1,Returning_Visitor,no,0
208,0,0,0,0,3,51,0,0.1,0,0,Nov,Android,2,3,2,Other,no,0
209,0,0,0,0,20,379.4166667,0.002857143,0.0295,0,1,May,iOS,2,1,2,Returning_Visitor,1,0
210,0,0,1,106.3,32,2331.15,0.03125,0.048958333,0,0,Aug,iOS,2,4,1,Returning_Visitor,no,0
211,0,0,0,0,7,512.25,0,0.014285714,0,0,Dec,iOS,2,1,11,New_Visitor,no,0
212,0,0,0,0,3,20,0,0.066666667,0,0,May,Android,2,1,4,Returning_Visitor,no,0
213,0,0,3,35.33333333,13,151.5,0.003333333,0.016444444,0,0.8,May,Android,2,3,2,Returning_Visitor,no,0
214,0,0,0,0,4,88,0,0.05,0,0,Feb,Ubuntu,1,1,3,Returning_Visitor,no,0
215,0,0,2,67.6,8,183.8,0,0.02,0,0,Oct,Windows,1,1,5,New_Visitor,no,0
216,0,0,0,0,4,160.5,0,0.05,0,0,Nov,Windows,1,1,3,Returning_Visitor,no,0
217,0,0,0,0,2,19.2,0.1,0.15,0,0,Sep,iOS,2,3,1,Returning_Visitor,no,0
218,0,0,0,0,15,1506.916667,0.004444444,0.033015873,0,0,Nov,Windows,8,2,11,Returning_Visitor,no,0
219,0,0,2,9.5,18,529.702381,0,0.005263158,0,0,Mar,Android,2,4,2,Returning_Visitor,1,0
220,0,0,2,34,35,1907.135417,0.006944444,0.021993464,64.25350176,0,Dec,Android,2,1,10,Returning_Visitor,1,0
221,0,0,5,100.9166667,56,1432.223333,0,0.002185792,69.43043195,0,Mar,Android,2,3,3,Returning_Visitor,1,1
222,0,0,4,31.6,9,1760.7,0,0.003333333,0,0,Nov,Ubuntu,2,9,2,Returning_Visitor,no,0
223,0,0,0,0,12,676.25,0,0.025,0,0,Nov,Android,4,1,6,Returning_Visitor,no,0
224,0,0,3,35.4,38,937.8075758,0.01025641,0.039316239,0,0,Jul,iOS,2,1,1,Returning_Visitor,no,0
225,0,0,0,0,57,2167.126924,0.008181818,0.017137357,12.360043,0,Nov,iOS,2,3,1,Returning_Visitor,1,1
226,0,0,2,22.2,18,470.8966667,0,0.005,0,0,Nov,Android,2,2,4,New_Visitor,no,0
227,0,0,3,96.8,29,2041.626667,0.026075269,0.047324629,0,0,Sep,Android,2,3,1,Returning_Visitor,no,0
228,0,0,0,0,7,97,0.057142857,0.1,0,0,Mar,Android,2,4,1,Returning_Visitor,no,0
229,3,144,1,57,15,280.0833333,0.010526316,0.021052632,0,0,May,iOS,2,6,4,Returning_Visitor,1,0
230,0,0,6,81.12,26,2134.103333,0,0.014583333,13.38353821,0,Jul,Android,2,1,6,Returning_Visitor,no,0
231,0,0,0,0,31,887.9166667,0.038709677,0.069892473,0,0.6,May,Windows,1,1,15,Returning_Visitor,no,0
232,0,0,2,175.2,60,1635.466667,0.006557377,0.014754098,0,0,Nov,Android,5,7,3,Returning_Visitor,no,0
233,0,0,6,1279.5,72,1032.761905,0,0.001388889,0,0,May,Android,4,1,3,New_Visitor,no,0
234,0,0,4,98.91666667,110,4096.712716,0.002654867,0.011061947,0,0,Nov,Windows,2,6,2,Returning_Visitor,no,0
235,0,0,2,23,50,2473.196429,0,0.013301282,0,0,Nov,Android,2,3,8,New_Visitor,no,0
236,0,0,2,46,13,195,0,0.008333333,0,0,May,Android,2,1,4,Returning_Visitor,no,0
